Sub	task_x	run_x	tsnr_x	fd_mean_x	task_y	run_y	tsnr_y	fd_mean_y
sub-1001	socialdoors	1	-2.2832283600453613	2.1510406146448053	doors	1	-1.7247844128452197	1.73133646838765
sub-1004	socialdoors	1	-1.4795123882622696	0.01920276695001121	doors	1	-0.1415050260001822	-0.512153613455304
sub-1006	socialdoors	1	1.0326202779636453	-0.8255951678523964	doors	1	-0.937374184488998	-0.3991322751129709
sub-1009	socialdoors	1	-0.07841861494689127	0.6045254707029979	doors	1	0.35239952820343534	0.337854842787624
sub-1012	socialdoors	1	1.409894646917575	-0.45618946356213136	doors	1	0.40851531755198395	-0.40226138555437246
sub-1013	socialdoors	1	1.7211112727312845	-1.4453742407158048	doors	1	1.3125471932836084	-1.1533326645609459
sub-1015	socialdoors	1	0.7673474482042819	0.013529991848663818	doors	1	1.374250923554725	0.03479988514069714
sub-1016	socialdoors	1	1.6610259800321263	-0.9035565609161083	doors	1	1.775304939585747	-0.9788319668275774
sub-1019	socialdoors	1	-1.2988870802406054	1.245054654607877	doors	1	-1.4645330918937776	0.49747229257848613
sub-1021	socialdoors	1	0.6622662388615268	0.33648565869580654	doors	1	-1.014140936403521	0.9968630471082552
sub-1242	socialdoors	1	1.1649723290201022	-1.518809445472299	doors	1	1.2545730160621833	-1.5114714753036116
sub-1245	socialdoors	1	0.19840169902055255	-1.054158277408641	doors	1	0.11558923610304825	-1.1248197355457021
sub-1247	socialdoors	1	0.2467115843712678	1.93929929027739	doors	1	-0.07643234659053554	1.564268893599703
sub-1248	socialdoors	1	-0.5707579829345725	-0.3101454541131144	doors	1	1.4258875580225057	-0.35582715278943783
sub-1249	socialdoors	1	0.43447272303385376	0.41572726616584726	doors	1	0.8555328451019598	0.34172086535449525
sub-1251	socialdoors	1	1.1835421888425537	-1.580826410386999	doors	1	0.2420398245333722	-1.3659852408602693
sub-1276	socialdoors	1	-0.47068190094190987	-0.05730692493333049	doors	1	0.2609544934641076	-0.2346697223028724
sub-1286	socialdoors	1	-0.6327293126151188	-0.8695890985754311	doors	1	-0.3911167569468082	-0.5478206821315237
sub-1294	socialdoors	1	-0.38587558914907655	-0.4855975354962037	doors	1	0.3843300107464939	-0.7060969324058395
sub-1301	socialdoors	1	-0.8740423973716622	2.028552152167838	doors	1	0.23628577865959974	1.4113740620403652
sub-1302	socialdoors	1	0.4634924157629435	-0.5932974634264148	doors	1	1.0435040224469443	-0.2650991097894925
sub-1303	socialdoors	1	-1.8297149431736435	0.3531207235966845	doors	1	-2.022148832787341	0.3093469382761303
sub-3116	socialdoors	1	0.6560431809865115	1.0920471151849347	doors	1	-1.1013318387814475	1.8923109257293194
sub-3122	socialdoors	1	-1.1002388309101128	0.22775226834136794	doors	1	-1.0324894997847458	-0.36858433471036084
sub-3140	socialdoors	1	-0.31249568009915446	0.7277410275802816	doors	1	0.6769962870153408	0.4038691321683791
sub-3143	socialdoors	1	-2.098799004307338	0.3828976158606608	doors	1	0.31758920918812916	-1.1273434269696052
sub-3166	socialdoors	1	0.18211589796318298	-0.03841992046784024	doors	1	1.037693898405885	-0.08837294938030604
sub-3167	socialdoors	1	0.4593314681957574	1.1116142580511714	doors	1	0.21349887678518942	0.477857368625513
sub-3170	socialdoors	1	1.0021271863556247	-1.1962902320199778	doors	1	0.5455902342074193	-1.0888251119258494
sub-3173	socialdoors	1	0.15303301327337665	-0.9793824028731224	doors	1	-0.13889703629622957	-0.6726751333902727
sub-3175	socialdoors	1	-0.584640230509778	0.5982595823093232	doors	1	-1.767560696881662	0.7972669790667171
sub-3176	socialdoors	1	0.1437680996483105	0.9372912972048764	doors	1	-1.9757920642471594	2.8671895115936707
sub-3189	socialdoors	1	0.4252936289629097	-0.5737513756390411	doors	1	0.5108924040956737	-0.4047349177187971
sub-3190	socialdoors	1	-0.9282235684459366	0.2774767507972265	doors	1	-1.2999525920284876	0.8659956296831182
sub-3200	socialdoors	1	0.40801095445821595	0.0172683449814105	doors	1	0.015120585382053155	0.16714057897095827
sub-3206	socialdoors	1	0.20943966969526276	-0.5682491829737611	doors	1	-0.28109849123199854	-0.42120488169561626
sub-3212	socialdoors	1	1.0497458394200752	-1.9214799737638963	doors	1	0.6349525684047227	-1.5296845752556512
sub-3220	socialdoors	1	-0.706521859767498	0.8991322806273647	doors	1	0.375109056403994	0.5622598665752971
