subs,socialRT,monetaryRT
1001,1.6206908956568657,1.7971449864666666
1003,2.1382662552738716,1.914710979540714
1004,1.715875421096255,1.8054555988928764
1006,2.0527259194253324,1.8743728899047705
1009,1.2498923472012398,1.133029624357975
1010,1.6549163997891203,1.4041378390606647
1012,1.637643611970513,1.9983171222770282
1013,2.3796519535952307,1.9402302918921124
1015,1.8083468647964764,1.4506014769955071
1016,1.7097542784334618,1.7883958525800459
1019,1.5097095439668302,1.1978495370266806
1021,1.9423532944890516,1.2568414491387854
1242,2.0352106995748422,1.871883459038388
1243,1.6900608333431142,1.6086461914611083
1244,1.58703687547968,1.7132375025309259
1245,2.503450253134361,1.877526249695802
1247,1.8571719764731824,1.6931412529549559
1248,1.9378242399782413,1.796203828660941
1249,2.044773012520939,1.714376083407842
1251,1.805063645382567,1.7829381415154784
1255,2.459869585048926,2.436874903546875
1276,2.462571378742149,2.091979374455967
1286,2.124743724350507,1.8943799675810922
1294,1.8093390357079144,1.996108409356869
1301,1.9214012001873924,1.4259831470476159
1302,1.898116281438949,1.6873592270172335
1303,1.9183291711865962,1.8954768950000471
3116,2.0432680272487533,1.765965260915497
3122,1.488911911662823,1.6786273400007226
3125,2.102444442627408,2.1812768572204124
3140,2.0927465440550197,1.69179660253382
3143,2.219022088419054,2.0606779203257855
3166,2.1702855296291466,2.306761536132641
3167,2.4598438957065816,2.1969174488893195
3170,1.8471014898315257,1.8213668627123314
3173,1.9880339357017267,2.265474337890105
3175,2.326659655935423,1.9954228733326695
3176,2.424859800789473,2.2014421543512905
3189,2.5551556196429113,2.058846023333293
3190,1.9124606333411074,1.552115350947408
3200,2.0337842566679076,2.0581529483305827
3206,2.4564176466626426,1.8342533950034214
3212,1.5285488583438565,1.470141744997818
3220,2.251166286676501,1.899990254974303
