sub,task,zstat
sub-1001,doors,0.6860285579
sub-1001,socialdoors,0.8831808379
sub-1003,doors,1.382438022
sub-1003,socialdoors,1.23090869
sub-1004,doors,0.8653579793
sub-1004,socialdoors,0.1329903745
sub-1006,doors,-0.2293898255
sub-1006,socialdoors,2.448413955
sub-1009,doors,1.124269653
sub-1009,socialdoors,1.643574561
sub-1010,doors,0.7946802064
sub-1010,socialdoors,1.022428491
sub-1012,doors,1.637446178
sub-1012,socialdoors,0.968010902
sub-1013,doors,1.778277032
sub-1013,socialdoors,1.135987226
sub-1015,doors,0.4607461342
sub-1015,socialdoors,0.5116197463
sub-1016,doors,1.362076527
sub-1016,socialdoors,2.134609102
sub-1019,doors,0.523882827
sub-1019,socialdoors,-0.1740963175
sub-1021,doors,0.5341361912
sub-1021,socialdoors,0.1342959978
sub-1242,doors,1.995992403
sub-1242,socialdoors,1.304723183
sub-1243,doors,1.14306147
sub-1243,socialdoors,1.22915058
sub-1244,doors,0.9264723659
sub-1244,socialdoors,0.3947323204
sub-1245,doors,1.87150466
sub-1245,socialdoors,0.958084661
sub-1247,doors,1.305042876
sub-1247,socialdoors,1.060967744
sub-1248,doors,1.140149978
sub-1248,socialdoors,0.5738492286
sub-1249,doors,1.039955377
sub-1249,socialdoors,0.8945737733
sub-1251,doors,1.903378129
sub-1251,socialdoors,-0.2443139219
sub-1255,doors,0.5971143069
sub-1255,socialdoors,0.2137811339
sub-1276,doors,-0.06506913811
sub-1276,socialdoors,-0.05986322454
sub-1286,doors,1.402061015
sub-1286,socialdoors,1.440098568
sub-1294,doors,0.9655164037
sub-1294,socialdoors,0.8059811362
sub-1301,doors,-0.6425409113
sub-1301,socialdoors,0.238464848
sub-1302,doors,0.3079074658
sub-1302,socialdoors,0.9530217857
sub-1303,doors,1.189056585
sub-1303,socialdoors,1.047633082
sub-3116,doors,1.007603533
sub-3116,socialdoors,0.2772387508
sub-3122,doors,0.6451855695
sub-3122,socialdoors,1.459723434
sub-3125,doors,1.738777066
sub-3125,socialdoors,0.9588601418
sub-3140,doors,0.5894607043
sub-3140,socialdoors,0.3752598217
sub-3143,doors,1.788352485
sub-3143,socialdoors,0.4827103962
sub-3166,doors,1.338574452
sub-3166,socialdoors,1.054626828
sub-3167,doors,1.482363849
sub-3167,socialdoors,1.645299309
sub-3170,doors,0.684365354
sub-3170,socialdoors,1.486668441
sub-3173,doors,0.6047607022
sub-3173,socialdoors,0.8251448671
sub-3175,doors,1.286344168
sub-3175,socialdoors,1.285708658
sub-3176,doors,0.9348998696
sub-3176,socialdoors,0.987819558
sub-3189,doors,0.7465946204
sub-3189,socialdoors,2.031742549
sub-3190,doors,1.274771226
sub-3190,socialdoors,0.7203247852
sub-3200,doors,0.583607955
sub-3200,socialdoors,0.3682250293
sub-3206,doors,0.5067330629
sub-3206,socialdoors,0.4661420192
sub-3212,doors,0.04763235681
sub-3212,socialdoors,1.472582918
sub-3220,doors,1.457315196
sub-3220,socialdoors,1.706406801
